abandonnent;abandonnaient;abandonnèrent;abandonnassent;abandonneraient
abreuvent;abreuvaient;abreuvèrent;abreuvassent;abreuveraient
abricotient;abricotiaient;abricotièrent;abricotiassent;abricotieraient
abritent;abritaient;abritèrent;abritassent;abriteraient
abrogent;abrogeaient;abrogèrent;abrogeassent;abrogeraient
abrutissent;abrutissaient;abrutèrent;abrutiraient
absorbent;absorbaient;absorbèrent;absorbassent;absorberaient
absolvent;absolvaient;absolèrent;absolussent;absoudraient
abstraient;abstrayaient;abstraèrent;abstraissent;abstrairaient
abusent;abusaient;abusèrent;abusassent;abuseraient
abyment;abymaient;abymèrent;abymassent;abymeraient
acagnardent;acagnardaient;acagnardèrent;acagnardassent;acagnarderaient
accablent;accablaient;accablèrent;accablassent;accableraient
accaparent;accaparaient;accaparèrent;accaparassent;accapareraient
accastillent;accastillaient;accastillèrent;accastillassent;accastilleraient
accidentent;accidentaient;accidentèrent;accidentassent;accidenteraient
accentuent;accentuaient;accentuèrent;accentuassent;accentueraient
accessoirisent;accessoirisaient;accessoirisèrent;accessoirisassent;accessoiriseraient
accidentent;accidentaient;accidentèrent;accidentassent;accidenteraient
acclament;acclamaient;acclamèrent;acclamassent;acclameraient
acclimatent;acclimataient;acclimatèrent;acclimatassent;acclimateraient
acceptent;acceptaient;acceptèrent;acceptassent;accepteraient
accointent;accointaient;accointèrent;accointassent;accointeraient
accolent;accolaient;accolèrent;accolassent;accoleraient
accommodent;accommodaient;accommodèrent;accommodassent;accommoderaient
accomplissent;accomplissaient;accomplèrent;accomplissent;accompliraient
accompagnent;accompagnaient;accompagnèrent;accompagnassent;accompagneraient
accordent;accordaient;accordèrent;accordassent;accorderaient
accostent;accostaient;accostèrent;accostassent;accosteraient
accotent;accotaient;accotèrent;accotassent;accoteraient
accouchent;accouchaient;accouchèrent;accouchassent;accoucheraient
accouent;accouaient;accouèrent;accouassent;accoueraient
accouplent;accouplaient;accouplèrent;accouplassent;accoupleraient
accourcissent;accourcissaient;accourcèrent;accourciraient
accourent;accouraient;accoururent;accourussent;accourraient
accoutrent;accoutraient;accoutrèrent;accoutrassent;accoutreraient
accoutument;accoutumaient;accoutumèrent;accoutumassent;accoutumeraient
accréditent;accréditaient;accréditèrent;accréditassent;accréditeraient
accrochent;accrochaient;accrochèrent;accrochassent;accrocheraient
accroient;accroyaient;accrèrent;accrussent;accroiraient
accroissent;accroissaient;accrèrent;accrussent;accroiraient
accueillent;accueillaient;accueillèrent;accueillissent;accueilleraient
acculent;acculaient;acculèrent;acculassent;acculeraient
acculturent;acculturaient;acculturèrent;acculturassent;accultureraient
accumulent;accumulaient;accumulèrent;accumulassent;accumuleraient
accusent;accusaient;accusèrent;accusassent;accuseraient
acensent;acensaient;acensèrent;acensassent;acenseraient
acérent;acéraient;acérèrent;acérassent;acéreraient
acétifient;acétifiaient;acétifièrent;acétifiassent;acétifieraient
achalandent;achalandaient;achalandèrent;achalandassent;achalanderaient
acharnent;acharnaient;acharnèrent;acharnassent;acharneraient
acheminent;acheminaient;acheminèrent;acheminassent;achemineraient
achètent;achetaient;achetèrent;achetassent;achèteraient
achèvent;achevaient;achevèrent;achevassent;acheveraient
achoppent;achoppaient;achoppèrent;achoppassent;achopperaient
achromatisent;achromatisaient;achromatisèrent;achromatisassent;achromatiseraient
acidifient;acidifiaient;acidifièrent;acidifiassent;acidifieraient
acidulent;acidulaient;acidulèrent;acidulassent;aciduleraient
acièrent;aciéraient;aciérèrent;aciérassent;aciéreraient
acisèlent;aciselaient;aciselèrent;aciselassent;acisèleraient
acquièrent;acquéraient;acquèrent;acquissent;acquerraient
acquittent;acquittaient;acquittèrent;acquittassent;acquitteraient
acquiescent;acquiesçaient;acquiescèrent;acquiesçassent;acquiesceraient
acquittent;acquittaient;acquittèrent;acquittassent;acquitteraient
actionnent;actionnaient;actionnèrent;actionnassent;actionneraient
activent;activaient;activèrent;activassent;activeraient
actualisent;actualisaient;actualisèrent;actualisassent;actualiseraient
adaptent;adaptaient;adaptèrent;adaptassent;adapteraient
additionnent;additionnaient;additionnèrent;additionnassent;additionneraient
adhèrent;adhéraient;adhérèrent;adhérassent;adhéreraient
adirent;adiraient;adirèrent;adirassent;adireraient
adjectivent;adjectivaient;adjectivèrent;adjectivassent;adjectiveraient
adjoignent;adjoignaient;adjoignirent;adjoignissent;adjoindraient
adjugent;adjugeaient;adjugèrent;adjugeassent;adjugeraient
adjurent;adjuraient;adjurèrent;adjurassent;adjureraient
admettent;admettaient;admirent;admissent;admettraient
administrent;administraient;administrèrent;administrassent;administreraient
admirent;admiraient;admirèrent;admirassent;admireraient
admonestent;admonestaient;admonestèrent;admonestassent;admonesteraient
adonnent;adonnaient;adonnèrent;adonnassent;adonneraient
adoptent;adoptaient;adoptèrent;adoptassent;adopteraient
adorent;adoraient;adorèrent;adorassent;adoreraient
adossent;adossaient;adossèrent;adossassent;adosseraient
adoubent;adoubaient;adoubèrent;adoubassent;adouberaient
adoucissent;adoucissaient;adoucirent;adoucissent;adouciraient
adressent;adressaient;adressèrent;adressassent;adresseraient
adsorbent;adsorbaient;adsorbèrent;adsorbassent;adsorberaient
adulent;adulaient;adulèrent;adulassent;aduleraient
adultèrent;adultéraient;adultérèrent;adultérassent;adultéreraient
aèrent;aéraient;aérèrent;aérassent;aéreraient
affabulent;affabulaient;affabulèrent;affabulassent;affabuleraient
affacturent;affacturaient;affacturèrent;affacturassent;affactureraient
affadissent;affadissaient;affadirent;affadiraient
affaiblissent;affaiblissaient;affaiblirent;affaibliraient
affaissent;affaissaient;affaissèrent;affaissassent;affaisseraient
affaitent;affaitaient;affaitèrent;affaitassent;affaiteraient
affalent;affalaient;affalèrent;affalassent;affaleraient
affament;affamaient;affamèrent;affamassent;affameraient
afféagent;afféageaient;afféagèrent;afféageassent;afféageraient
affectent;affectaient;affectèrent;affectassent;affecteraient
affectionnent;affectionnaient;affectionnèrent;affectionnassent;affectionneraient
affèrent;afféraient;afférèrent;afférassent;afféreraient
afferment;affermaient;affermèrent;affermassent;affermeraient
affermissent;affermissaient;affermirent;affermiraient
affichent;affichaient;affichèrent;affichassent;afficheraient
affilent;affilaient;affilèrent;affilassent;affileraient
affilient;affiliaient;affilièrent;affiliassent;affilieraient
affinent;affinaient;affinèrent;affinassent;affineraient
affirment;affirmaient;affirmèrent;affirmassent;affirmeraient
affleurent;affleuraient;affleurèrent;affleurassent;affleureraient
affligent;affligeaient;affligèrent;affligeassent;affligeraient
afflouent;afflouaient;afflouèrent;afflouassent;affloueraient
affluent;affluaient;affluèrent;affluassent;afflueraient
affolent;affolaient;affolèrent;affolassent;affoleraient
affouagent;affouageaient;affouagèrent;affouageassent;affouageraient
affouillent;affouillaient;affouillèrent;affouillassent;affouilleraient
affouragent;affourageaient;affouragèrent;affourageassent;affourageraient
affourchent;affourchaient;affourchèrent;affourchassent;affourcheraient
affranchissent;affranchissaient;affranchirent;affranchiraient
affrètent;affrétaient;affrétèrent;affrétassent;affréteraient
affriandent;affriandaient;affriandèrent;affriandassent;affrianderaient
affriolent;affriolaient;affriolèrent;affriolassent;affrioleraient
affrontent;affrontaient;affrontèrent;affrontassent;affronteraient
affruitent;affruitaient;affruitèrent;affruitassent;affruiteraient
